,0,1
1061,IGTA,9.96
1062,CCTSW,0.05
1063,NMFC,12.09
1064,ARWR,35.87
1065,GIW,10.21
1066,STKS,7.61
1067,AJRD,49.05
1068,CEIX,60.36
1069,CMPOW,0.87
1070,CULP,5.05
1071,HTIBP,19.99
1072,PXLW,1.45
1073,CNGL,10.18
1074,PTICW,0.1199
1075,HSCSW,0.495
1076,IDN,2.285
1077,GGT,6.25
1078,ABEO,4.4
1079,FRC^N,18.42
1080,SANW,0.96
1081,VRTV,125.94
1082,HALL,0.9456
1083,KTOS,11.09
1084,DMAC,1.23
1085,SBT,6.4
1086,GIA,10.18
1087,GLBLW,0.3384
1088,NGL^B,9.55
1089,ACR,10.1
1090,BLKB,53.97
1091,FEXDU,10.13
1092,ATXI,2.52
1093,PSTV,0.49
1094,ALPN,5.92
1095,CBZ,48.35
1096,JBT,94.58
1097,QCOM,119.21
1098,X,24.395
1099,EMCGW,0.0375
1100,IVR^B,20.0
1101,CWBR,2.09
1102,GMFIU,10.05
1103,BAMI,15.6
1104,PEI,3.16
1105,PACWP,24.9
1106,KINZW,0.0197
1107,NRC,41.15
1108,HZN,0.5368
1109,SRT,3.22
1110,DTLA^,7.05
1111,LVOX,3.15
1112,VWE,2.84
1113,BEATW,0.6
1114,DTF,10.8799
1115,UVSP,28.3
1116,VRA,3.19
1117,FMS,15.575
1118,FNCH,1.34
1119,HVT/A,30.77
1120,DSKE,6.03
1121,FGMCU,10.05
1122,GOGO,13.94
1123,SRG,11.695
1124,BEN,27.4
1125,ALLK,5.96
1126,FANG,153.82
1127,AMCIW,0.2
1128,MGPI,112.36
1129,ABR^F,19.5627
1130,LFACW,0.0254
1131,EAST,0.3028
1132,CTXR,1.12
1133,DARE,0.9797
1134,IPX,4.66
1135,ARTL,3.04
1136,ALX,236.525
1137,HIE,10.53
1138,MAT,18.67
1139,HSON,33.455
1140,LFUS,223.29
1141,MSPR,1.12
1142,CMS^B,91.4
1143,PSA^N,16.7067
1144,CYH,3.14
1145,APG,18.97
1146,SNV^E,23.325
1147,SOI,12.34
1148,ETR,110.525
1149,NCZ,3.04
1150,CUBI,33.77
1151,MCBS,22.3
1152,BCH,18.76
1153,NUE,144.325
1154,ASA,13.94
1155,IBP,82.735
1156,LBPH,3.15
1157,ETI^,23.26
1158,MDXG,2.99
1159,UPTDU,10.06
1160,ZTR,6.61
1161,AVID,27.35
1162,NWLI,198.45
1163,DRVN,31.56
1164,PRG,19.01
1165,ST,45.03
1166,ADEA,10.46
1167,MYPS,4.43
1168,BKNG,1871.72
1169,MFC,17.715
1170,KOPN,1.1
1171,PFD,11.03
1172,MSB,20.4
1173,LRCX,405.59
1174,AMN,120.435
1175,IGACU,10.06
1176,RUMBW,2.8
1177,PMO,10.49
1178,EMBK,6.51
1179,INDP,1.8049
1180,GWAV,1.37
1181,AUY,5.11
1182,SKIN,11.82
1183,PWUPW,0.05
1184,TRON,10.15
1185,RWAY,13.0
1186,WEYS,25.8
1187,WOOF,10.62
1188,BHSE,11.95
1189,TWLVU,9.92
1190,GLBL,10.01
1191,RCC,22.9
1192,MDT,83.1336
